55,RbBaI_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2,2,2,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5,17,7,1
56,RbBaBr_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2,2,2,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,17,7,1
57,RbBaCl_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2,2,2,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,17,7,1
58,RbSrI_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2,2,2,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5,17,7,1
59,RbSrBr_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2,2,2,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,17,7,1
60,RbSrCl_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,2,2,2,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,17,7,1
61,RbCaI_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2,2,2,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5,17,7,1
62,RbCaBr_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2,2,2,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,17,7,1
63,RbCaCl_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2,2,2,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,17,7,1
64,RbGeI_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,14,4,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5,17,7,1
65,RbGeBr_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,14,4,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,17,7,1
66,RbGeCl_3,Pure,1.61,961,312.63,1.532,85.4678,46.89,403,2.34,69.2,0.82,37,5,1,1,1,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,14,4,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,17,7,1
